name,price,link
Геймърски стол BOOST,  от 521.00 лв.,https://antares-bg.net/ofis-stolove-ceni/gejmrski-stolove/gejmrski-stol-boost
Поставка за крака FOOTREST ADVANCED,  от 72.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/reguliruema-postavka-za-kraka-footrest-advanced
Работен стол ALISTER,  от 276.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-alister
Конферентен стол MONRA,  от 184.00 лв.,https://antares-bg.net/ofis-stolove-ceni/konferentni/konferenten-stol-monra
Ергономичен стол DARIO BLACK,  от 523.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/ergonomichen-stol-dario-black
Ергономичен стол ERGOHUMAN,  от 883.00 лв.,https://antares-bg.net/ofis-stolove-ceni/menidzharski/menidzhrski-stol-ergohuman
Работен стол AVALON,  от 239.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-avalon
Ергономичен стол EDWIN,  от 405.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/ergonomichen-stol-edwin
Ергономичен стол DARIO,  от 435.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/ergonomichen-stol-dario
Мениджръски стол ALESSANDRO,  от 552.00 лв.,https://antares-bg.net/ofis-stolove-ceni/menidzharski/menidzhrski-stol-alessandro
Ергономичен стол POFIT,  от 1475.00 лв.,https://antares-bg.net/ofis-stolove-ceni/menidzharski/ergonomichen-stol-pofit
Поставка за крака FOOTREST STANDARD,  от 50.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/reguliruema-postavka-za-kraka-footrest-standard
Работен стол TEMPO,  от 216.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-tempo
Мениджърски стол OKLAHOMA PDH,  от 394.00 лв.,https://antares-bg.net/ofis-stolove-ceni/menidzharski/menidzhrski-stol-oklahoma-pdh
Мениджърски стол MIAMI,  от 321.00 лв.,https://antares-bg.net/ofis-stolove-ceni/menidzharski/menidzhrski-stol-miami
Конферентен стол EPIC W,  от 1112.00 лв.,https://antares-bg.net/ofis-stolove-ceni/konferentni/konferenten-stol-epic-w
Работен стол 1990 TITAN MESH ALU,  от 776.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-srol-1990-titan-mesh-alu
Работен стол MIRAGE,  от 109.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-mirage-cr
Работен стол DIAMOND LR,  от 316.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-diamond-lr
Работен стол DIAMOND,  от 253.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-diamond
Работен стол 1990 TITAN MESH ALU PDH,  от 882.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-srol-1990-titan-mesh-alu-pdh
Работен стол 1990 TITAN ALU,  от 1034.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-srol-1990-titan-alu
Работен стол 1990 TITAN ALU PDH,  от 1140.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-srol-1990-titan-alu-pdh
Работен стол 1980 SYN BLUR ALU,  от 1011.00 лв.,https://antares-bg.net/ofis-stolove-ceni/rabotni/raboten-stol-1980-syn-blur-alu
